epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.4624,2.35454,8.72068,2.41111,0.00326,0.77778,0.00405,0.00071,3.60634,5.90848,2.9673,2.858e-05,2.858e-05,2.858e-05
2,19.8601,2.37311,9.48953,2.45959,0.00033,0.33333,0.00072,0.00016,3.40665,5.783,2.82593,6.90921e-05,6.90921e-05,6.90921e-05
3,28.5252,1.75354,7.44672,1.85757,0.00303,0.55556,0.0458,0.02291,1.16026,4.27666,1.46974,0.000106775,0.000106775,0.000106775
4,37.0686,1.07454,6.48324,1.08154,0.005,0.66667,0.05738,0.03043,0.92486,3.94803,1.20844,0.000141628,0.000141628,0.000141628
5,45.8742,0.88936,5.84945,0.96429,0.04168,1,0.52853,0.32387,1.00921,4.11029,1.28916,0.000173652,0.000173652,0.000173652
6,54.4858,0.81184,7.32048,0.9146,0.0418,1,0.48205,0.35264,0.88163,4.0402,1.25108,0.000202847,0.000202847,0.000202847
7,63.4411,0.91059,6.23833,0.91669,0.03975,1,0.55224,0.37577,0.84658,4.00409,1.18406,0.000229212,0.000229212,0.000229212
8,72.2132,0.88527,6.54861,0.93151,0.03711,1,0.5381,0.36736,0.84902,4.00041,1.18339,0.000252747,0.000252747,0.000252747
9,81.2016,0.86477,6.05215,0.88808,0.05773,1,0.42212,0.34659,0.75248,3.88434,1.11368,0.000273453,0.000273453,0.000273453
10,89.9426,0.80737,6.23121,0.93281,0.05444,1,0.36655,0.29605,0.80375,3.89796,1.12262,0.00029133,0.00029133,0.00029133
11,98.9189,0.79145,5.59067,0.9127,0.02319,1,0.42643,0.35119,0.732,3.83099,1.13036,0.000306378,0.000306378,0.000306378
12,107.274,0.70111,6.00341,0.92703,0.01612,1,0.43429,0.34766,0.70257,3.85572,1.1171,0.000318596,0.000318596,0.000318596
13,115.86,0.71449,5.69985,0.86853,0.00832,1,0.57589,0.44203,0.69273,3.83819,1.11199,0.000327984,0.000327984,0.000327984
14,124.222,0.66794,5.06658,0.85607,0.00631,1,0.56764,0.43763,0.72764,3.87437,1.12272,0.000334543,0.000334543,0.000334543
15,132.771,0.74308,5.55622,0.91197,0.00484,1,0.6147,0.49293,0.62453,3.79102,1.08445,0.000338273,0.000338273,0.000338273
16,140.063,0.74817,5.69592,0.89368,0.00426,1,0.6147,0.48741,0.61425,3.79406,1.08484,0.000339173,0.000339173,0.000339173
17,147.047,0.71514,6.69204,0.88072,0.00396,1,0.5597,0.4114,0.7544,3.82496,1.10673,0.000337244,0.000337244,0.000337244
18,154.081,0.7103,5.00341,0.86341,0.00391,1,0.48812,0.36352,0.77258,3.82826,1.10468,0.000332485,0.000332485,0.000332485
19,161.336,0.60944,4.97477,0.85168,0.00398,1,0.60542,0.46794,0.74746,3.81485,1.10493,0.000324897,0.000324897,0.000324897
20,168.541,0.67503,5.24163,0.84557,0.00412,1,0.52292,0.42502,0.63124,3.7866,1.07526,0.00031448,0.00031448,0.00031448
21,206.047,0.54564,6.95619,0.82956,0.00398,1,0.5072,0.42379,0.60361,3.75994,1.06317,0.000301233,0.000301233,0.000301233
22,213.164,0.54516,6.9615,0.89475,0.00401,1,0.48713,0.40361,0.60282,3.74459,1.04924,0.000285157,0.000285157,0.000285157
23,220.093,0.50952,7.00275,0.81873,0.00417,1,0.50489,0.42102,0.60295,3.74489,1.05044,0.000266251,0.000266251,0.000266251
24,227.065,0.50351,6.69922,0.81051,0.00413,1,0.46006,0.38663,0.62562,3.74062,1.05494,0.000244516,0.000244516,0.000244516
25,234.048,0.50366,6.9279,0.83974,0.00426,1,0.47,0.38491,0.64294,3.72609,1.07116,0.000219952,0.000219952,0.000219952
26,241.043,0.41866,6.66648,0.78257,0.0043,1,0.50184,0.42271,0.68867,3.70252,1.08398,0.000192558,0.000192558,0.000192558
27,248.046,0.50917,7.24077,0.79527,0.00438,1,0.46214,0.38678,0.71145,3.67931,1.08863,0.000162334,0.000162334,0.000162334
28,255.044,0.4369,6.60642,0.80942,0.00438,1,0.52583,0.4394,0.70848,3.63878,1.08358,0.000129282,0.000129282,0.000129282
29,262.047,0.42783,6.66805,0.77102,0.00438,1,0.52583,0.4394,0.70848,3.63878,1.08358,9.33994e-05,9.33994e-05,9.33994e-05
30,269.028,0.43198,6.68568,0.81572,0.00437,1,0.58567,0.5023,0.6977,3.60619,1.08062,5.46878e-05,5.46878e-05,5.46878e-05
