epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8541,2.47063,9.40069,2.39489,0.00024,0.13333,0.00023,3e-05,3.2857,5.78907,2.91953,4.287e-05,4.287e-05,4.287e-05
2,23.8903,2.18638,8.85626,2.22513,0.00372,1,0.02836,0.01807,1.35894,4.34473,1.53804,9.86153e-05,9.86153e-05,9.86153e-05
3,35.3608,0.98764,6.27614,1.0577,0.00329,1,0.45611,0.36578,0.78761,3.83224,1.04553,0.000152744,0.000152744,0.000152744
4,47.1659,0.80754,5.88604,0.90273,0.00379,1,0.38911,0.29983,0.70025,3.78713,0.99419,0.000205255,0.000205255,0.000205255
5,59.0491,0.8456,5.73453,0.93805,0.00399,1,0.50266,0.38092,0.72533,3.80082,0.9954,0.00025615,0.00025615,0.00025615
6,71.151,0.84852,5.30827,0.95365,0.00417,1,0.42659,0.36099,0.57697,3.74963,0.97699,0.000305428,0.000305428,0.000305428
7,83.1496,0.72221,5.1761,0.88571,0.00361,1,0.43688,0.33485,0.76327,3.7494,1.09916,0.00035309,0.00035309,0.00035309
8,95.2744,0.75885,4.78447,0.89665,0.00336,1,0.44004,0.37103,0.69667,3.62652,1.02855,0.000399134,0.000399134,0.000399134
9,107.418,0.73649,4.23349,0.93187,0.00331,1,0.45324,0.39235,0.67087,3.67759,1.00084,0.000443562,0.000443562,0.000443562
10,119.553,0.70967,5.1527,0.87261,0.00343,1,0.44104,0.38274,0.5614,3.67067,0.9649,0.000486372,0.000486372,0.000486372
11,131.644,0.78679,5.11098,0.92754,0.00368,1,0.45047,0.37663,0.63884,3.63964,0.97731,0.000527566,0.000527566,0.000527566
12,143.542,0.75204,4.18757,0.88308,0.00371,1,0.49225,0.41925,0.62993,3.50607,0.97849,0.000567144,0.000567144,0.000567144
13,152.86,0.63659,4.46187,0.84617,0.00364,1,0.61598,0.51567,0.66505,3.62187,0.9711,0.000605104,0.000605104,0.000605104
14,162.479,0.69573,3.93811,0.83609,0.00361,1,0.61845,0.51316,0.69169,3.60043,0.98892,0.000641447,0.000641447,0.000641447
15,172.679,0.78692,4.78381,0.91429,0.00361,1,0.66381,0.51361,0.86773,3.49941,1.0259,0.000676174,0.000676174,0.000676174
16,183.512,0.72215,3.66952,0.87776,0.00361,1,0.66382,0.53042,0.72811,3.48531,1.01208,0.000709284,0.000709284,0.000709284
17,194.806,0.72357,4.3574,0.86535,0.00361,1,0.69156,0.51845,0.96437,3.35988,1.05819,0.000740777,0.000740777,0.000740777
18,206.042,0.67544,3.91958,0.87583,0.24185,1,0.56395,0.47674,0.60197,3.16679,0.97038,0.000770654,0.000770654,0.000770654
19,217.537,0.6693,4.28347,0.88042,0.3194,1,0.58327,0.49629,0.59446,3.10146,0.96601,0.000798913,0.000798913,0.000798913
20,229.117,0.68626,3.89896,0.86806,0.32443,1,0.60911,0.48926,0.75853,2.9449,0.98474,0.000825556,0.000825556,0.000825556
21,241.069,0.72618,3.82682,0.89042,0.3258,1,0.61278,0.49189,0.77129,2.72789,1.00651,0.000850582,0.000850582,0.000850582
22,253.041,0.6869,3.71255,0.85327,0.32353,1,0.61712,0.49232,0.76029,2.78068,1.03136,0.000873991,0.000873991,0.000873991
23,264.939,0.61974,3.93377,0.84718,0.32477,1,0.66159,0.53676,0.6953,2.88789,0.99906,0.000895783,0.000895783,0.000895783
24,276.873,0.6918,3.55173,0.86041,0.32579,1,0.49716,0.42961,0.60267,2.85802,0.95519,0.000915958,0.000915958,0.000915958
25,286.228,0.63126,3.39371,0.83358,0.32745,1,0.61964,0.50611,0.67461,2.72872,0.98433,0.000934517,0.000934517,0.000934517
26,295.883,0.75874,3.81071,0.85311,0.37813,1,0.68222,0.55201,0.70742,2.61661,1.00779,0.000923746,0.000923746,0.000923746
27,306.112,0.71972,3.32052,0.84487,0.37038,1,0.70348,0.52242,0.90984,2.59775,1.07124,0.000903536,0.000903536,0.000903536
28,316.537,0.62417,4.10363,0.83003,0.34166,1,0.63552,0.48337,1.00706,2.73119,1.10861,0.000883326,0.000883326,0.000883326
29,327.252,0.67687,3.45485,0.87696,0.32409,1,0.51933,0.40424,0.87823,2.73692,1.05848,0.000863116,0.000863116,0.000863116
30,338.403,0.56183,3.29124,0.8389,0.32004,1,0.42144,0.34782,0.6406,2.59937,0.99063,0.000842906,0.000842906,0.000842906
31,349.978,0.54643,3.49689,0.83426,0.33167,1,0.56503,0.46544,0.6221,2.53536,0.98141,0.000822696,0.000822696,0.000822696
32,361.69,0.59413,3.60327,0.8443,0.33238,1,0.51264,0.41565,0.58218,2.53227,0.9806,0.000802486,0.000802486,0.000802486
33,373.56,0.5154,3.75947,0.82765,0.3237,1,0.57861,0.48289,0.58208,2.48108,0.96905,0.000782275,0.000782275,0.000782275
34,385.427,0.60825,3.09749,0.86459,0.32802,1,0.55389,0.46193,0.65642,2.38864,0.9792,0.000762065,0.000762065,0.000762065
35,397.275,0.56229,3.08592,0.84174,0.32585,1,0.47209,0.39587,0.69397,2.29085,0.97513,0.000741855,0.000741855,0.000741855
36,409.127,0.53253,3.38012,0.8625,0.3255,1,0.51861,0.45662,0.61718,2.31578,0.94743,0.000721645,0.000721645,0.000721645
37,418.361,0.52563,3.2325,0.7957,0.32723,1,0.57844,0.50781,0.63875,2.37095,0.94737,0.000701435,0.000701435,0.000701435
38,427.566,0.53432,3.27104,0.82038,0.32812,1,0.58,0.50541,0.59528,2.39104,0.94908,0.000681225,0.000681225,0.000681225
