epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.6076,2.49791,9.6745,2.29558,0.00346,0.89103,0.01418,0.00513,1.57986,4.96002,2.11492,7.145e-05,7.145e-05,7.145e-05
2,55.0391,1.56818,6.97386,1.43351,0.00319,1,0.39901,0.22763,1.05441,4.06982,1.15178,0.000154967,0.000154967,0.000154967
3,76.0862,1.13179,6.00336,1.05255,0.00352,0.97436,0.3049,0.19557,1.29702,4.14252,1.19659,0.000236059,0.000236059,0.000236059
4,96.9019,1.08536,5.41085,1.05311,0.00353,1,0.41334,0.30771,0.89571,3.84424,0.99136,0.000314725,0.000314725,0.000314725
5,117.982,1.05866,5.28885,1.02701,0.00327,1,0.46683,0.30277,0.96865,3.79603,0.99817,0.000390966,0.000390966,0.000390966
6,139.265,1.06743,4.68134,1.02061,0.00341,1,0.46571,0.33649,0.92214,3.72626,0.9849,0.000464782,0.000464782,0.000464782
7,160.73,1.01383,4.80321,0.98718,0.00325,1,0.44712,0.33694,0.86295,3.73898,0.97047,0.000536173,0.000536173,0.000536173
8,176.384,1.00218,4.50579,0.95683,0.0032,1,0.46205,0.33868,0.95689,3.63047,1.04169,0.000605139,0.000605139,0.000605139
9,192.621,0.96904,4.2049,0.98675,0.00374,1,0.43269,0.29799,0.96927,3.56002,1.10017,0.000671679,0.000671679,0.000671679
10,208.926,0.93486,4.86561,0.95354,0.00408,1,0.45425,0.31811,0.96873,3.54975,1.1041,0.000735794,0.000735794,0.000735794
11,225.561,0.87804,3.70829,0.93076,0.39104,0.80907,0.41597,0.3008,1.08395,3.26267,1.08193,0.000797484,0.000797484,0.000797484
12,242.729,0.83459,4.14464,0.92766,0.33866,0.49816,0.46372,0.34287,0.93657,3.23091,1.01305,0.000856749,0.000856749,0.000856749
13,260.27,0.86053,4.25292,0.92995,0.81524,0.18024,0.44981,0.33101,0.99791,3.58762,1.09987,0.000913588,0.000913588,0.000913588
14,277.954,0.90723,3.68922,0.9197,0.33227,0.15041,0.41463,0.29992,1.01354,3.66647,1.08735,0.000968003,0.000968003,0.000968003
15,296.541,0.86996,3.66549,0.91984,0.75618,0.25874,0.46788,0.35825,0.92056,3.42277,1.03166,0.00101999,0.00101999,0.00101999
16,311.835,0.87526,3.45406,0.91163,0.30384,0.55501,0.48393,0.35102,0.96822,3.04544,0.98867,0.00106956,0.00106956,0.00106956
17,328.39,0.79573,3.40255,0.87433,0.31805,0.66667,0.44702,0.33322,0.92905,2.90688,0.96894,0.00110564,0.00110564,0.00110564
18,346.579,0.79998,3.12027,0.89364,0.31571,0.91667,0.43405,0.32739,0.93596,2.50309,1.00003,0.00108543,0.00108543,0.00108543
19,364.641,0.81057,3.38218,0.90876,0.31987,0.91667,0.40934,0.31,0.95209,2.46272,1.01808,0.00106522,0.00106522,0.00106522
20,383.047,0.86736,3.12222,0.91228,0.35941,0.91667,0.49471,0.35483,1.01156,2.47216,1.07773,0.00104501,0.00104501,0.00104501
21,401.845,0.8366,3.14813,0.93108,0.32722,0.91667,0.49594,0.37615,0.93858,2.50687,1.01239,0.0010248,0.0010248,0.0010248
22,421.278,0.86928,3.30404,0.93516,0.49215,0.89579,0.55349,0.3997,1.05145,2.5942,1.07555,0.00100459,0.00100459,0.00100459
23,441.185,0.77447,2.89234,0.89131,0.48793,0.82337,0.57095,0.4333,0.98008,2.47328,1.04816,0.000984377,0.000984377,0.000984377
24,456.39,0.81222,3.20662,0.90718,0.39956,0.91667,0.56907,0.42108,1.06397,2.49749,1.05626,0.000964167,0.000964167,0.000964167
25,472.16,0.81915,3.1128,0.88805,0.39614,0.91667,0.54747,0.39553,1.07885,2.48029,1.0421,0.000943957,0.000943957,0.000943957
26,488.986,0.76672,2.99047,0.88321,0.36785,0.91667,0.62078,0.48091,0.87339,2.25385,0.99325,0.000923746,0.000923746,0.000923746
27,507.088,0.7645,2.80193,0.8721,0.35851,0.91667,0.59151,0.44771,0.89378,2.07965,1.00199,0.000903536,0.000903536,0.000903536
