                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3201,                 8.7486,                 1.0887,                  5e-05,                 0.0625,                0.00028,                0.00011,                0.77039,                 4.0376,                0.92896,              4.375e-05,              4.375e-05,              4.375e-05
                      2,                0.77923,                 8.2853,                0.91749,                0.25017,                 0.4375,                0.29507,                0.26791,                0.49293,                 3.5637,                  0.838,             9.2424e-05,             9.2424e-05,             9.2424e-05
                      3,                0.63726,                 8.2979,                0.86537,                  0.283,                  0.625,                0.45195,                0.41356,                0.46028,                  3.529,                0.81762,             0.00013968,             0.00013968,             0.00013968
                      4,                 0.6353,                 8.1847,                0.86413,                0.19303,                   0.75,                0.52998,                0.47599,                0.47367,                 3.5151,                0.81739,             0.00018553,             0.00018553,             0.00018553
                      5,                0.60491,                 7.7413,                 0.8502,                0.13292,                   0.75,                0.56092,                0.49925,                0.50466,                 3.4924,                0.82269,             0.00022996,             0.00022996,             0.00022996
                      6,                0.57857,                 6.6131,                0.82284,                 0.0944,                   0.75,                0.56539,                0.51811,                0.48042,                 3.4202,                0.82536,             0.00027298,             0.00027298,             0.00027298
                      7,                 0.6176,                 5.9317,                0.85033,                0.06329,                   0.75,                0.61376,                0.55495,                0.51709,                 3.3474,                0.82709,             0.00031458,             0.00031458,             0.00031458
                      8,                0.54092,                  5.969,                0.79869,                0.05309,                   0.75,                0.59737,                0.52846,                0.48523,                 3.2286,                 0.8112,             0.00035477,             0.00035477,             0.00035477
                      9,                0.59048,                 5.4432,                0.85145,                0.04591,                   0.75,                0.60043,                0.55194,                0.42006,                 3.0185,                0.79744,             0.00039354,             0.00039354,             0.00039354
                     10,                0.59894,                 5.7045,                0.85863,                0.04041,                      1,                0.83055,                0.74041,                0.47203,                 2.9358,                0.79299,              0.0004309,              0.0004309,              0.0004309
                     11,                 0.5715,                 4.8624,                0.85296,                0.02287,                      1,                0.86919,                0.77969,                0.49107,                 2.7009,                0.79949,             0.00046685,             0.00046685,             0.00046685
                     12,                0.53801,                 4.8778,                0.82679,                      1,                0.20399,                0.87062,                0.78223,                0.45017,                 2.4718,                 0.7941,             0.00050138,             0.00050138,             0.00050138
                     13,                0.56018,                 4.3546,                0.84042,                0.98569,                    0.5,                0.92654,                0.83423,                0.44913,                 1.9424,                0.79461,             0.00051893,             0.00051893,             0.00051893
                     14,                0.51618,                 4.4008,                 0.8159,                0.93511,                0.66269,                0.95132,                0.86737,                0.42078,                   1.75,                 0.7926,             0.00051009,             0.00051009,             0.00051009
                     15,                0.51026,                 4.2973,                0.82912,                0.94679,                0.84811,                0.98806,                0.88698,                0.50718,                 1.5224,                0.81042,             0.00050125,             0.00050125,             0.00050125
                     16,                0.52167,                 4.0764,                0.83308,                 0.9591,                0.95473,                  0.995,                0.91417,                  0.394,                 1.3246,                0.79619,             0.00049241,             0.00049241,             0.00049241
                     17,                0.52428,                 4.2883,                0.83274,                0.96041,                0.98908,                  0.995,                0.91343,                0.41351,                 1.1817,                 0.7983,             0.00048357,             0.00048357,             0.00048357
                     18,                0.49628,                 3.9545,                0.82038,                0.95881,                      1,                  0.995,                0.91328,                0.38986,                0.88401,                0.79658,             0.00047473,             0.00047473,             0.00047473
                     19,                0.48595,                 3.5856,                0.80507,                0.98141,                0.99668,                  0.995,                0.92121,                0.35268,                0.78205,                 0.7866,             0.00046589,             0.00046589,             0.00046589
                     20,                0.50143,                 3.7421,                 0.8305,                0.96491,                      1,                  0.995,                0.92507,                0.38355,                0.75503,                  0.786,             0.00045705,             0.00045705,             0.00045705
                     21,                0.50981,                 3.7819,                 0.8405,                 0.9445,                      1,                  0.995,                0.92948,                0.37674,                0.59088,                0.78862,             0.00044821,             0.00044821,             0.00044821
                     22,                0.50647,                 3.5714,                  0.841,                0.96529,                0.99674,                  0.995,                0.91185,                0.42706,                0.47572,                0.80294,             0.00043937,             0.00043937,             0.00043937
                     23,                0.48141,                 3.4643,                0.82603,                0.96581,                      1,                  0.995,                0.92279,                0.40531,                0.43197,                0.79964,             0.00043054,             0.00043054,             0.00043054
                     24,                0.44097,                 3.4053,                0.80561,                0.98406,                      1,                  0.995,                0.92253,                0.38327,                0.41458,                0.79428,              0.0004217,              0.0004217,              0.0004217
                     25,                0.48006,                 3.5085,                0.84723,                0.99167,                      1,                  0.995,                0.93391,                0.34926,                0.38128,                0.78579,             0.00041286,             0.00041286,             0.00041286
                     26,                0.45132,                 3.3748,                0.79873,                0.99184,                      1,                  0.995,                0.91555,                0.38573,                0.41706,                0.79521,             0.00040402,             0.00040402,             0.00040402
                     27,                0.47182,                 3.1627,                 0.8256,                0.98822,                      1,                  0.995,                0.93346,                0.33827,                0.38939,                0.78785,             0.00039518,             0.00039518,             0.00039518
                     28,                0.44589,                 3.4024,                0.81622,                0.99327,                      1,                  0.995,                0.94272,                0.36426,                0.36225,                0.79573,             0.00038634,             0.00038634,             0.00038634
                     29,                0.45543,                 3.0707,                 0.8291,                0.99027,                      1,                  0.995,                0.92993,                0.35543,                0.35892,                0.79448,              0.0003775,              0.0003775,              0.0003775
                     30,                0.44651,                 3.1015,                0.83413,                0.98924,                      1,                  0.995,                0.92098,                 0.3449,                0.37566,                0.78964,             0.00036866,             0.00036866,             0.00036866
                     31,                0.44355,                 3.1806,                0.80013,                0.98422,                      1,                  0.995,                0.92136,                0.36418,                0.36482,                0.79438,             0.00035982,             0.00035982,             0.00035982
                     32,                0.42678,                 2.8891,                0.81469,                0.99162,                      1,                  0.995,                 0.9345,                0.34108,                0.34946,                0.78908,             0.00035098,             0.00035098,             0.00035098
                     33,                0.42503,                 2.6972,                0.80623,                0.99214,                      1,                  0.995,                0.93578,                 0.3421,                0.33746,                0.79134,             0.00034214,             0.00034214,             0.00034214
                     34,                0.46473,                 2.8992,                0.83078,                0.99093,                      1,                  0.995,                0.94548,                0.34404,                0.35522,                0.79109,              0.0003333,              0.0003333,              0.0003333
                     35,                0.43687,                 3.1405,                0.82023,                0.99146,                      1,                  0.995,                0.95468,                0.33537,                0.32827,                0.79023,             0.00032446,             0.00032446,             0.00032446
                     36,                0.44939,                 3.1731,                0.83518,                0.99095,                      1,                  0.995,                 0.9461,                0.33265,                0.33736,                0.78896,             0.00031562,             0.00031562,             0.00031562
                     37,                0.40357,                  2.694,                0.79456,                0.99335,                      1,                  0.995,                0.93753,                0.31586,                0.31301,                0.78446,             0.00030679,             0.00030679,             0.00030679
                     38,                0.40495,                 2.5988,                0.81552,                0.99356,                      1,                  0.995,                0.94807,                0.31148,                0.30577,                0.78268,             0.00029795,             0.00029795,             0.00029795
                     39,                0.39317,                 2.6336,                0.79184,                 0.9931,                      1,                  0.995,                0.94765,                0.30469,                0.31726,                0.77993,             0.00028911,             0.00028911,             0.00028911
                     40,                0.37011,                  2.427,                0.79059,                 0.9946,                      1,                  0.995,                  0.943,                0.30794,                0.31076,                0.78095,             0.00028027,             0.00028027,             0.00028027
                     41,                0.39281,                 2.6982,                0.79511,                0.99124,                      1,                  0.995,                0.93393,                0.30484,                0.31255,                0.78156,             0.00027143,             0.00027143,             0.00027143
                     42,                0.40171,                 2.4355,                0.80281,                0.99268,                      1,                  0.995,                0.96383,                0.30127,                0.29995,                0.78118,             0.00026259,             0.00026259,             0.00026259
                     43,                0.38596,                 2.7444,                0.81749,                0.99206,                      1,                  0.995,                0.94098,                0.30392,                0.29214,                0.78197,             0.00025375,             0.00025375,             0.00025375
                     44,                0.37528,                 2.6125,                0.81982,                0.98893,                      1,                  0.995,                0.94028,                0.30788,                0.29116,                0.78296,             0.00024491,             0.00024491,             0.00024491
                     45,                  0.381,                 2.4268,                0.82304,                0.99298,                      1,                  0.995,                0.94965,                0.31165,                 0.2787,                0.78658,             0.00023607,             0.00023607,             0.00023607
                     46,                0.38392,                 2.7018,                0.83035,                0.99226,                      1,                  0.995,                0.96211,                0.29508,                0.28621,                0.78345,             0.00022723,             0.00022723,             0.00022723
                     47,                0.34556,                  2.372,                0.79838,                0.99298,                      1,                  0.995,                0.95367,                0.28805,                0.28507,                0.78154,             0.00021839,             0.00021839,             0.00021839
