epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.45056,3.98279,9.83985,3.37104,0,0,0,0,3.37284,6.01542,3.1468,3.75e-05,3.75e-05,3.75e-05
2,4.24804,3.77816,10.5427,3.23025,0,0,0,0,2.75308,5.88231,2.94151,8.46125e-05,8.46125e-05,8.46125e-05
3,5.73569,3.19123,8.65991,2.71962,0,0,0,0,2.30193,5.47155,2.74286,0.000128425,0.000128425,0.000128425
4,7.13485,2.58489,7.23646,2.17196,0,0,0,0,1.90845,5.28169,2.48278,0.000168938,0.000168938,0.000168938
5,8.54622,2.15793,6.26856,1.8225,0,0,0,0,1.9512,4.98269,2.17224,0.00020615,0.00020615,0.00020615
6,9.86511,1.86675,6.0754,1.5791,0.0001,0.0303,6e-05,1e-05,2.01341,4.97509,1.86363,0.000240063,0.000240063,0.000240063
7,11.3804,1.75154,5.51249,1.41874,0.04855,0.60606,0.23467,0.11165,1.80939,4.40508,1.29283,0.000270675,0.000270675,0.000270675
8,12.7042,1.73545,5.79641,1.31383,0.02514,0.66667,0.18087,0.08934,1.5384,4.33775,1.17087,0.000297987,0.000297987,0.000297987
9,14.0471,1.53128,4.97736,1.2325,0.01944,0.66667,0.29484,0.10438,1.41378,4.13283,1.08423,0.000322,0.000322,0.000322
10,15.447,1.41258,4.82831,1.1969,0.01496,0.66667,0.43897,0.20415,1.32853,3.92832,0.98813,0.000342713,0.000342713,0.000342713
11,16.8628,1.35263,4.63079,1.10983,0.01443,0.66667,0.4351,0.26449,1.28878,3.74301,0.91265,0.000360125,0.000360125,0.000360125
12,18.3207,1.29522,4.12057,1.03812,0.0134,0.66667,0.4975,0.27301,1.11776,3.78138,0.85983,0.000374238,0.000374238,0.000374238
13,19.668,1.25218,3.88427,1.02986,0.05168,0.81818,0.56296,0.29495,1.24671,3.72359,0.8877,0.00038505,0.00038505,0.00038505
14,21.0175,1.22785,3.79176,1.01728,0.06482,1,0.76135,0.49212,1.18151,3.59253,0.86909,0.000392563,0.000392563,0.000392563
15,22.361,1.18094,3.81571,1.01497,0.06999,1,0.80193,0.50043,1.19438,3.63052,0.91485,0.000396775,0.000396775,0.000396775
16,23.6556,1.18947,3.74775,0.99855,0.06999,1,0.80193,0.50043,1.19438,3.63052,0.91485,0.000397687,0.000397687,0.000397687
17,24.9557,1.15813,3.60528,0.97274,0.06239,1,0.80241,0.53295,1.09875,3.5225,0.89364,0.0003953,0.0003953,0.0003953
18,26.3024,1.1369,3.40817,1.02629,0.996,0.33333,0.79294,0.57804,1.01152,3.3578,0.82788,0.000389612,0.000389612,0.000389612
19,27.5853,0.9924,3.05545,0.93692,0.996,0.33333,0.79294,0.57804,1.01152,3.3578,0.82788,0.000380625,0.000380625,0.000380625
20,28.882,1.11184,3.27273,1.00793,1,0.38664,0.79465,0.53887,1.15885,3.24941,0.86392,0.000368338,0.000368338,0.000368338
21,58.5154,1.49805,4.74252,1.12712,0.99586,0.66041,0.81877,0.56265,1.02299,2.95959,0.84566,0.00035275,0.00035275,0.00035275
22,59.9623,1.16565,4.30199,1.05052,0.99586,0.66041,0.81877,0.56265,1.02299,2.95959,0.84566,0.000333863,0.000333863,0.000333863
23,61.2795,0.98365,3.99946,0.93123,0.86311,0.70356,0.907,0.59751,0.99704,2.77702,0.84739,0.000311675,0.000311675,0.000311675
24,62.5694,1.10464,3.84681,0.99875,0.86311,0.70356,0.907,0.59751,0.99704,2.77702,0.84739,0.000286187,0.000286187,0.000286187
25,63.9072,1.12301,4.44732,1.01786,0.94404,0.88051,0.9822,0.70735,0.96045,2.57786,0.84437,0.0002574,0.0002574,0.0002574
26,65.2156,1.00061,3.8611,0.958,0.94404,0.88051,0.9822,0.70735,0.96045,2.57786,0.84437,0.00021875,0.00021875,0.00021875
27,66.5708,0.86657,3.73627,0.92925,0.97856,0.93184,0.995,0.77273,0.86858,2.36562,0.82904,0.0001775,0.0001775,0.0001775
28,67.8485,0.99738,3.74763,0.95083,0.97856,0.93184,0.995,0.77273,0.86858,2.36562,0.82904,0.00013625,0.00013625,0.00013625
29,69.1732,1.03071,4.02253,0.96198,0.97159,0.96616,0.995,0.77562,0.80074,2.18608,0.80723,9.5e-05,9.5e-05,9.5e-05
30,70.4435,0.93834,3.65771,0.95767,0.97159,0.96616,0.995,0.77562,0.80074,2.18608,0.80723,5.375e-05,5.375e-05,5.375e-05
