epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.2397,3.21101,7.91985,2.85194,0.00086,0.04023,0.00048,7e-05,2.14545,4.71293,2.34576,0.00017148,0.00017148,0.00017148
2,75.7331,1.37445,3.84234,1.30407,0.0077,0.71839,0.02559,0.01156,1.24173,3.77973,1.16039,0.000350176,0.000350176,0.000350176
3,111.738,1.03231,2.58611,1.11401,0.00905,0.90805,0.02553,0.01275,0.91535,4.91958,1.0101,0.000521516,0.000521516,0.000521516
4,147.551,0.92862,2.06545,1.05513,0.02683,0.97701,0.09434,0.05222,1.17445,7.91061,1.17877,0.0006855,0.0006855,0.0006855
5,186.786,0.86131,1.72296,1.00433,0.03815,0.97126,0.08914,0.07253,0.74823,9.67535,0.94165,0.000842127,0.000842127,0.000842127
6,226.266,0.86727,1.73079,1.01862,1,0.32757,0.98608,0.82476,0.72069,2.47442,0.90858,0.000991397,0.000991397,0.000991397
7,265.689,0.79858,1.50248,0.97724,0.84609,0.57244,0.73289,0.63421,0.65129,2.27596,0.88522,0.00113331,0.00113331,0.00113331
8,306.165,0.73653,1.39285,0.94646,0.63962,0.87817,0.67974,0.58783,0.58817,3.18172,0.84751,0.00123094,0.00123094,0.00123094
9,346.492,0.66224,1.32941,0.91682,1,0.99758,0.995,0.89747,0.51207,1.02509,0.80989,0.00120265,0.00120265,0.00120265
10,387.513,0.63401,1.26178,0.91299,0.9958,0.99811,0.995,0.91224,0.42379,0.79393,0.77767,0.00117435,0.00117435,0.00117435
11,422.784,0.60707,1.15563,0.90478,0.99568,0.99781,0.995,0.90592,0.47023,0.63788,0.79407,0.00114606,0.00114606,0.00114606
12,458.512,0.61432,1.12737,0.8978,0.99631,0.99857,0.995,0.89849,0.49366,0.56335,0.78901,0.00111776,0.00111776,0.00111776
13,498.253,0.5825,1.03592,0.88183,0.99606,0.999,0.995,0.89786,0.46287,0.56467,0.78532,0.00108947,0.00108947,0.00108947
14,539.448,0.57041,1.00133,0.89299,0.99482,0.99905,0.995,0.91107,0.42861,0.44272,0.79111,0.00106118,0.00106118,0.00106118
15,578.221,0.56563,0.93158,0.8898,0.99903,0.99966,0.995,0.91514,0.43541,0.37184,0.78009,0.00103288,0.00103288,0.00103288
16,618.491,0.53296,0.89553,0.87572,0.99581,0.99923,0.995,0.93367,0.37981,0.346,0.7636,0.00100459,0.00100459,0.00100459
17,658.399,0.51902,0.82691,0.87308,0.99797,0.99988,0.995,0.89263,0.47592,0.3307,0.78513,0.000976293,0.000976293,0.000976293
18,697.65,0.49795,0.80923,0.85586,0.99924,1,0.995,0.95364,0.35842,0.33808,0.75333,0.000947999,0.000947999,0.000947999
19,739.227,0.49504,0.75404,0.85896,0.9985,1,0.995,0.93281,0.41156,0.33238,0.76688,0.000919704,0.000919704,0.000919704
20,774.715,0.47297,0.73508,0.84118,0.99847,1,0.995,0.88083,0.46678,0.30938,0.79001,0.00089141,0.00089141,0.00089141
21,812.481,0.43419,0.68508,0.83536,0.99839,0.99965,0.995,0.93473,0.36238,0.30879,0.75689,0.000863116,0.000863116,0.000863116
22,847.99,0.43756,0.68445,0.84225,0.99686,0.99958,0.995,0.94478,0.38031,0.28786,0.75194,0.000834822,0.000834822,0.000834822
23,883.17,0.43443,0.65081,0.83312,0.99847,1,0.995,0.92129,0.41467,0.33841,0.76752,0.000806528,0.000806528,0.000806528
24,922.744,0.4368,0.61322,0.8257,0.99828,0.9999,0.995,0.9562,0.32367,0.26641,0.73288,0.000778233,0.000778233,0.000778233
25,961.44,0.41363,0.59691,0.82473,0.99808,1,0.995,0.92713,0.36491,0.26447,0.75676,0.000749939,0.000749939,0.000749939
26,1000.51,0.41843,0.58596,0.83762,0.99735,0.99965,0.995,0.94047,0.3456,0.25473,0.74513,0.000721645,0.000721645,0.000721645
27,1042.04,0.40339,0.57648,0.83121,0.99686,0.99957,0.995,0.96119,0.30023,0.23083,0.72956,0.000693351,0.000693351,0.000693351
28,1082,0.39297,0.54429,0.8228,0.99838,1,0.995,0.95476,0.30155,0.2246,0.73118,0.000665057,0.000665057,0.000665057
29,1116.44,0.3919,0.56293,0.8235,0.99794,1,0.995,0.9463,0.30634,0.23038,0.74035,0.000636762,0.000636762,0.000636762
30,1153.74,0.39673,0.52086,0.82592,0.99803,1,0.995,0.96296,0.26695,0.21098,0.73472,0.000608468,0.000608468,0.000608468
31,1192.1,0.38352,0.50194,0.82485,0.99831,1,0.995,0.95618,0.32648,0.21303,0.74198,0.000580174,0.000580174,0.000580174
32,1227.33,0.35723,0.48882,0.80652,0.99913,1,0.995,0.96192,0.29452,0.21767,0.72683,0.00055188,0.00055188,0.00055188
33,1269.48,0.34136,0.4699,0.80987,0.99867,1,0.995,0.95048,0.28821,0.20757,0.72727,0.000523586,0.000523586,0.000523586
34,1307.48,0.35165,0.46828,0.8149,0.99757,1,0.995,0.96193,0.27604,0.20474,0.72402,0.000495291,0.000495291,0.000495291
35,1346.4,0.34468,0.46905,0.81403,0.99833,1,0.995,0.9572,0.30154,0.20116,0.73252,0.000466997,0.000466997,0.000466997
36,1384.06,0.32925,0.46033,0.81822,0.9988,1,0.995,0.9642,0.25598,0.18598,0.72552,0.000438703,0.000438703,0.000438703
37,1423.27,0.33483,0.45404,0.79976,0.99875,1,0.995,0.96846,0.24516,0.1936,0.71418,0.000410409,0.000410409,0.000410409
38,1459.86,0.31266,0.44128,0.80194,0.99886,1,0.995,0.9648,0.25055,0.1943,0.72006,0.000382115,0.000382115,0.000382115
39,1494.16,0.30325,0.41265,0.80261,0.99868,1,0.995,0.96573,0.28328,0.18911,0.72992,0.00035382,0.00035382,0.00035382
40,1534.14,0.32484,0.42161,0.80873,0.9985,1,0.995,0.97211,0.27004,0.18259,0.72176,0.000325526,0.000325526,0.000325526
41,1601.96,0.35124,0.55421,0.81641,0.99893,1,0.995,0.96945,0.27139,0.21422,0.72457,0.000297232,0.000297232,0.000297232
42,1640.18,0.32824,0.54517,0.82175,0.99856,1,0.995,0.96554,0.27608,0.19123,0.72184,0.000268938,0.000268938,0.000268938
43,1678.5,0.29881,0.50062,0.81068,0.99883,1,0.995,0.96339,0.2677,0.17183,0.72208,0.000240644,0.000240644,0.000240644
44,1715.76,0.30088,0.50958,0.815,0.99901,1,0.995,0.96567,0.27061,0.18026,0.72189,0.000212349,0.000212349,0.000212349
45,1752.1,0.29684,0.49337,0.8109,0.99907,1,0.995,0.96806,0.24989,0.1714,0.7203,0.000184055,0.000184055,0.000184055
46,1789.29,0.28929,0.47895,0.81175,0.99889,1,0.995,0.96746,0.23627,0.16896,0.71744,0.000155761,0.000155761,0.000155761
47,1828.11,0.27554,0.47189,0.81199,0.99843,1,0.995,0.96973,0.23098,0.17084,0.71709,0.000127467,0.000127467,0.000127467
48,1865.39,0.27075,0.46463,0.80996,0.99863,1,0.995,0.96582,0.21983,0.15394,0.71513,9.91726e-05,9.91726e-05,9.91726e-05
49,1902.09,0.2652,0.45363,0.81377,0.99901,1,0.995,0.96643,0.2271,0.15566,0.71513,7.08784e-05,7.08784e-05,7.08784e-05
50,1939.57,0.26391,0.44019,0.79626,0.99907,1,0.995,0.96416,0.22343,0.15238,0.71321,4.25842e-05,4.25842e-05,4.25842e-05
