epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.0689,0.94293,8.12992,1.01394,0.26877,0.21045,0.14235,0.1176,0.7055,2.74027,0.86646,0.000206706,0.000206706,0.000206706
2,57.8796,0.74301,8.37476,0.92786,0.16895,0.27572,0.21935,0.18938,0.64048,2.42462,0.86005,0.00037395,0.00037395,0.00037395
3,71.4888,0.76015,8.11079,0.9422,0.2459,0.43626,0.2819,0.23897,0.62733,2.03794,0.85749,0.000499945,0.000499945,0.000499945
4,85.3464,0.71327,7.68537,0.9271,0.35234,0.45191,0.40231,0.33768,0.63278,1.78631,0.86594,0.000439375,0.000439375,0.000439375
5,98.8712,0.69763,7.09194,0.94177,0.39628,0.49995,0.4757,0.39138,0.63425,1.62937,0.88706,0.0003775,0.0003775,0.0003775
6,112.587,0.6888,6.5474,0.93261,0.42791,0.55573,0.50714,0.43037,0.60958,1.5095,0.87267,0.000315625,0.000315625,0.000315625
7,126.149,0.66394,6.21165,0.90997,0.43099,0.57813,0.52626,0.44491,0.60999,1.34523,0.88365,0.00025375,0.00025375,0.00025375
8,139.488,0.66275,5.83751,0.93015,0.49532,0.59754,0.60833,0.51426,0.5965,1.28886,0.87356,0.000191875,0.000191875,0.000191875
9,152.811,0.63123,5.63758,0.92134,0.54529,0.70644,0.64854,0.54614,0.56788,1.17012,0.87446,0.00013,0.00013,0.00013
10,166.825,0.62298,5.56794,0.9255,0.55859,0.75518,0.66071,0.57041,0.5417,1.13129,0.86762,6.8125e-05,6.8125e-05,6.8125e-05
