                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.87398,                 10.581,                0.93789,                0.08351,                    0.5,                0.23926,                0.20848,                 0.5603,                 3.7095,                0.84635,             0.00020486,             0.00020486,             0.00020486
                      2,                0.68717,                 10.925,                0.84927,                0.93144,                 0.1875,                0.43212,                0.35699,                 0.6177,                 2.8098,                0.79859,             0.00037229,             0.00037229,             0.00037229
                      3,                0.73319,                 11.507,                0.85399,                 0.4923,                0.55406,                0.60107,                0.49241,                0.73464,                 1.9357,                0.81739,             0.00049847,             0.00049847,             0.00049847
                      4,                0.65692,                  10.67,                0.85074,                0.57876,                0.86182,                0.77725,                0.68163,                0.55608,                 1.6516,                0.79736,             0.00043937,             0.00043937,             0.00043937
                      5,                0.61257,                 10.095,                0.84258,                 0.5507,                0.81151,                0.68296,                0.59505,                0.52854,                 1.5436,                0.79848,              0.0003775,              0.0003775,              0.0003775
                      6,                0.56844,                 9.6399,                0.81689,                0.59731,                0.85186,                0.78945,                0.71956,                 0.4904,                 1.2539,                0.78778,             0.00031562,             0.00031562,             0.00031562
                      7,                0.58188,                 9.4963,                0.81561,                0.66577,                0.90625,                0.77699,                 0.7094,                0.45813,                 1.1326,                0.78623,             0.00025375,             0.00025375,             0.00025375
                      8,                0.50189,                 8.6261,                0.80776,                0.69749,                0.96875,                0.86169,                0.79429,                0.44012,                 1.0055,                0.78567,             0.00019188,             0.00019188,             0.00019188
                      9,                0.53121,                 8.4952,                0.80824,                0.77372,                0.96875,                0.89049,                0.81335,                0.46412,                0.93683,                0.79057,                0.00013,                0.00013,                0.00013
                     10,                0.51476,                 7.9755,                0.80336,                0.83993,                0.96875,                0.90703,                0.82774,                0.44617,                0.88477,                0.78694,             6.8125e-05,             6.8125e-05,             6.8125e-05
