                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7623,                  5.912,                 3.3699,                0.00333,                      1,                0.01188,                 0.0024,                 2.7907,                 6.2079,                 2.6788,                  4e-05,                  4e-05,                  4e-05
                      2,                 2.8976,                  6.558,                 3.4472,                0.00333,                      1,                0.04473,                0.01083,                 2.4998,                 5.8639,                 2.4705,               9.67e-05,               9.67e-05,               9.67e-05
                      3,                 1.7552,                  4.712,                 2.5169,                0.00333,                      1,                0.05549,                0.02105,                 2.0737,                 5.2893,                 2.0986,             0.00014944,             0.00014944,             0.00014944
                      4,                  1.295,                 3.9565,                 2.0821,                0.00333,                      1,                0.45551,                0.16564,                 1.6696,                 5.0359,                 1.7372,             0.00019822,             0.00019822,             0.00019822
                      5,                 1.3119,                 3.9038,                 2.1555,                0.00333,                      1,                0.61448,                0.20898,                 1.6624,                  5.046,                 1.7246,             0.00024304,             0.00024304,             0.00024304
                      6,                 1.4367,                 4.2002,                 2.0685,                0.00333,                      1,                 0.4018,                0.16482,                 1.6249,                 5.0053,                  1.742,              0.0002839,              0.0002839,              0.0002839
                      7,                 1.2252,                 3.6737,                 1.9302,                0.00333,                      1,                0.41415,                0.17352,                 1.6304,                 5.0183,                 1.6534,              0.0003208,              0.0003208,              0.0003208
                      8,                 1.1042,                 3.8033,                 1.7563,                0.00333,                      1,                0.54688,                 0.2202,                 1.7683,                 5.2484,                  1.666,             0.00035374,             0.00035374,             0.00035374
                      9,                  1.175,                  3.641,                 1.8249,                0.00333,                      1,                0.54779,                0.16931,                 2.0036,                 5.5903,                 2.1592,             0.00038272,             0.00038272,             0.00038272
                     10,                 1.0205,                 3.3546,                 1.7907,                0.00333,                      1,                 0.4111,                0.12528,                 2.0017,                 5.5313,                 2.2168,             0.00040774,             0.00040774,             0.00040774
                     11,                0.93071,                 3.2198,                 1.7335,                0.00333,                      1,                0.37556,                0.09821,                  1.802,                 5.2694,                 1.8214,              0.0004288,              0.0004288,              0.0004288
                     12,                0.82033,                 2.9308,                 1.6438,                0.00333,                      1,                0.21588,                0.07805,                 1.8339,                 5.2674,                 1.7186,              0.0004459,              0.0004459,              0.0004459
                     13,                 1.2308,                 3.6384,                 1.9165,                0.00333,                      1,                0.26083,                 0.0651,                 1.9373,                 5.3498,                 1.6136,             0.00045904,             0.00045904,             0.00045904
                     14,                 1.0728,                 3.1947,                 1.6545,                0.00333,                      1,                0.08392,                0.03189,                  2.029,                  5.531,                 1.6175,             0.00046822,             0.00046822,             0.00046822
                     15,                0.89743,                 2.8324,                 1.6076,                0.00333,                      1,                0.08392,                0.03189,                  2.029,                  5.531,                 1.6175,             0.00047344,             0.00047344,             0.00047344
                     16,                0.79644,                 2.7315,                 1.5688,                0.00333,                      1,                0.07332,                0.01911,                  2.592,                 6.2947,                 2.2697,              0.0004747,              0.0004747,              0.0004747
                     17,                0.78302,                 2.6834,                  1.529,                0.00333,                      1,                0.36909,                0.10837,                 2.0606,                  5.432,                  1.817,               0.000472,               0.000472,               0.000472
                     18,                0.97506,                 2.9268,                 1.6146,                0.00333,                      1,                0.36909,                0.10837,                 2.0606,                  5.432,                  1.817,             0.00046534,             0.00046534,             0.00046534
                     19,                 1.0415,                  3.132,                 1.6295,                0.00333,                      1,                0.85742,                0.29553,                 1.6663,                 5.0953,                 1.3506,             0.00045472,             0.00045472,             0.00045472
                     20,                0.95647,                 2.8205,                 1.5752,                0.00333,                      1,                  0.995,                 0.4825,                 1.5188,                 4.9999,                 1.1766,             0.00044014,             0.00044014,             0.00044014
                     21,                  1.074,                 5.8301,                 1.3953,                0.00333,                      1,                  0.995,                 0.4825,                 1.5188,                 4.9999,                 1.1766,              0.0004216,              0.0004216,              0.0004216
                     22,                 1.8542,                 6.6906,                 1.4415,                0.00333,                      1,                 0.9775,                0.52662,                 1.4839,                 4.9283,                 1.1591,              0.0003991,              0.0003991,              0.0003991
                     23,                 1.9394,                  7.254,                 1.4072,                0.00333,                      1,                 0.9775,                0.52662,                 1.4839,                 4.9283,                 1.1591,             0.00037264,             0.00037264,             0.00037264
                     24,                 1.9708,                 7.4402,                 1.4684,                0.00333,                      1,                0.87157,                0.48751,                 1.5765,                 5.1044,                 1.2452,             0.00034222,             0.00034222,             0.00034222
                     25,                 1.7317,                 6.8042,                 1.4437,                0.00333,                      1,                0.87157,                0.48751,                 1.5765,                 5.1044,                 1.2452,             0.00030784,             0.00030784,             0.00030784
                     26,                 2.0295,                 6.7477,                  1.299,                0.00333,                      1,                0.92375,                0.48805,                 1.9632,                  5.936,                 1.6112,              0.0002695,              0.0002695,              0.0002695
                     27,                 2.0847,                 6.8551,                  1.289,                0.00333,                      1,                0.92375,                0.48805,                 1.9632,                  5.936,                 1.6112,              0.0002272,              0.0002272,              0.0002272
                     28,                 1.8578,                 6.8289,                 1.3464,                0.00333,                      1,                0.88372,                0.48232,                 1.9883,                 5.9711,                 1.7284,             0.00018094,             0.00018094,             0.00018094
                     29,                 1.7918,                 6.8812,                 1.2576,                0.00333,                      1,                0.88372,                0.48232,                 1.9883,                 5.9711,                 1.7284,             0.00013072,             0.00013072,             0.00013072
                     30,                 1.7668,                 6.4402,                 1.2741,                0.00333,                      1,                0.88372,                0.48232,                 1.9883,                 5.9711,                 1.7284,              7.654e-05,              7.654e-05,              7.654e-05
