                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2458,                 4.7956,                0.99573,                0.00531,                0.09063,                0.01611,                0.00847,                0.82537,                 4.2546,                 0.8694,             0.00020461,             0.00020461,             0.00020461
                      2,                 1.0601,                 4.3023,                0.92467,                0.01117,                0.67546,                0.11353,                0.07608,                0.82625,                  3.676,                0.85208,             0.00040477,             0.00040477,             0.00040477
                      3,                0.97668,                 3.8136,                 0.9257,                 0.5487,                0.10603,                0.17469,                0.12736,                0.82992,                 3.1608,                0.86101,             0.00059668,             0.00059668,             0.00059668
                      4,                0.99749,                 3.7086,                0.92651,                0.23682,                0.37884,                 0.2678,                0.20259,                0.88054,                 2.6679,                 0.8959,             0.00058787,             0.00058787,             0.00058787
                      5,                0.96101,                 3.2117,                0.92846,                0.21963,                0.51327,                0.28763,                0.22532,                0.78944,                 2.3075,                0.87615,              0.0005755,              0.0005755,              0.0005755
                      6,                0.91179,                 2.9812,                0.92004,                0.20811,                0.49192,                0.37696,                0.30554,                0.82847,                 2.2128,                0.90232,             0.00056313,             0.00056313,             0.00056313
                      7,                0.91567,                 2.9859,                0.90218,                0.30576,                0.58158,                0.45289,                0.36818,                0.75724,                 1.8579,                0.86726,             0.00055075,             0.00055075,             0.00055075
                      8,                0.85464,                 2.6393,                0.89141,                0.42011,                0.49973,                0.50055,                0.39811,                0.80343,                 1.8684,                 0.8818,             0.00053838,             0.00053838,             0.00053838
                      9,                0.88771,                 2.6931,                0.89558,                0.39405,                0.65382,                 0.5434,                0.43495,                0.80319,                  1.653,                0.88262,               0.000526,               0.000526,               0.000526
                     10,                0.82737,                 2.3375,                 0.8782,                0.41819,                0.72843,                0.60692,                0.49115,                0.76663,                 1.5075,                0.87232,             0.00051363,             0.00051363,             0.00051363
                     11,                 0.8279,                 2.2238,                0.88658,                0.49511,                0.70221,                0.63572,                0.52904,                0.72776,                 1.4726,                0.86458,             0.00050125,             0.00050125,             0.00050125
                     12,                0.78582,                  2.401,                0.87864,                0.51102,                0.67212,                0.64352,                0.54252,                0.70466,                 1.4481,                 0.8625,             0.00048888,             0.00048888,             0.00048888
                     13,                0.75764,                 2.0864,                0.87818,                0.53522,                0.76465,                0.69041,                0.59154,                0.68388,                 1.3826,                0.85351,              0.0004765,              0.0004765,              0.0004765
                     14,                0.77238,                 2.2955,                0.87373,                 0.5885,                0.69741,                0.72543,                0.61523,                0.68621,                  1.438,                0.85902,             0.00046413,             0.00046413,             0.00046413
                     15,                0.75222,                 1.7883,                0.88057,                0.53522,                0.77876,                0.73071,                0.62865,                0.69102,                 1.3389,                0.85423,             0.00045175,             0.00045175,             0.00045175
                     16,                 0.7323,                 2.0385,                0.87059,                0.59815,                 0.8909,                0.79868,                0.66959,                0.67546,                 1.1759,                0.84997,             0.00043937,             0.00043937,             0.00043937
                     17,                0.71621,                 1.5816,                0.86165,                0.72454,                  0.759,                0.82439,                0.70131,                0.67471,                 1.2081,                0.85697,               0.000427,               0.000427,               0.000427
                     18,                0.70595,                 2.1133,                 0.8449,                0.74957,                0.81998,                0.85439,                0.73063,                0.67943,                 1.2145,                0.84849,             0.00041462,             0.00041462,             0.00041462
                     19,                0.73773,                  1.584,                0.87472,                0.74558,                 0.8321,                0.87282,                0.75036,                0.63992,                  1.082,                0.84351,             0.00040225,             0.00040225,             0.00040225
                     20,                0.71904,                  1.512,                0.86002,                0.73125,                0.83624,                0.87021,                0.74397,                0.63778,                 1.1057,                0.84358,             0.00038988,             0.00038988,             0.00038988
                     21,                0.69084,                 1.4884,                 0.8661,                0.73759,                0.82354,                0.87771,                0.74649,                0.63241,                 1.0277,                0.84843,              0.0003775,              0.0003775,              0.0003775
                     22,                0.69095,                 1.3493,                0.85783,                0.77876,                0.86072,                0.87583,                0.75406,                0.62026,                 0.9584,                0.84251,             0.00036513,             0.00036513,             0.00036513
                     23,                  0.669,                 1.4525,                0.86192,                0.85985,                0.83194,                0.90672,                0.78341,                0.63287,                0.89408,                0.84102,             0.00035275,             0.00035275,             0.00035275
                     24,                0.69376,                 1.4139,                0.85624,                0.81012,                0.90019,                0.92038,                0.79279,                0.64371,                0.90844,                 0.8424,             0.00034038,             0.00034038,             0.00034038
                     25,                0.66316,                 1.5606,                0.87002,                 0.8296,                0.88095,                0.92367,                0.79481,                0.61773,                0.83176,                0.84185,               0.000328,               0.000328,               0.000328
                     26,                0.67778,                  1.576,                 0.8635,                0.79051,                0.89576,                0.91603,                0.78177,                0.65487,                0.85062,                0.84849,             0.00031562,             0.00031562,             0.00031562
                     27,                0.66222,                 1.1645,                 0.8595,                0.87956,                0.83136,                0.91293,                0.78652,                0.62219,                0.87839,                0.84132,             0.00030325,             0.00030325,             0.00030325
                     28,                0.67462,                 1.3158,                0.83874,                0.88912,                 0.8173,                0.91415,                0.78966,                0.60411,                0.89861,                0.83158,             0.00029088,             0.00029088,             0.00029088
                     29,                0.65785,                 1.3276,                0.85767,                0.85602,                0.87599,                  0.935,                0.80588,                0.60634,                0.79319,                 0.8301,              0.0002785,              0.0002785,              0.0002785
                     30,                0.64033,                 1.1669,                0.84468,                0.88557,                0.91279,                0.94982,                0.82631,                0.60424,                0.74526,                0.83546,             0.00026613,             0.00026613,             0.00026613
                     31,                0.64878,                 1.2079,                0.84489,                0.89581,                0.91971,                0.95113,                 0.8258,                0.59526,                0.70991,                0.83485,             0.00025375,             0.00025375,             0.00025375
                     32,                 0.6342,                 1.1548,                0.85091,                0.91008,                0.89066,                0.94718,                0.82192,                0.56475,                0.76093,                0.82558,             0.00024137,             0.00024137,             0.00024137
                     33,                0.63239,                 1.2795,                0.82933,                0.91654,                0.92406,                0.95742,                0.83573,                0.56663,                0.69724,                0.82608,               0.000229,               0.000229,               0.000229
