epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,207.18,1.13237,4.02601,1.03145,0.0391,0.65694,0.10386,0.08212,0.65485,3.6096,0.82344,0.00012788,0.00012788,0.00012788
2,340.511,0.81792,3.0272,0.92101,0.03464,0.90645,0.27722,0.222,0.63759,3.07311,0.81763,0.000257624,0.000257624,0.000257624
3,463.691,0.7447,2.25756,0.88678,0.6305,0.34598,0.48408,0.40393,0.60724,2.55242,0.82587,0.000383594,0.000383594,0.000383594
4,586.043,0.74231,1.70262,0.89655,0.7568,0.29534,0.62753,0.5283,0.60999,2.09489,0.83507,0.000505789,0.000505789,0.000505789
5,707.928,0.69215,1.50744,0.8825,0.8532,0.64736,0.80886,0.69024,0.62608,1.33775,0.86118,0.000524546,0.000524546,0.000524546
6,825.478,0.68278,1.35251,0.878,0.79096,0.81692,0.85343,0.73476,0.58639,0.86537,0.85205,0.000516683,0.000516683,0.000516683
7,960.661,0.65988,1.22982,0.87585,0.84089,0.86179,0.89761,0.75339,0.63134,0.70104,0.86664,0.000508819,0.000508819,0.000508819
8,1069.87,0.64874,1.07121,0.87172,0.92416,0.90167,0.95491,0.834,0.55324,0.64102,0.84686,0.000500956,0.000500956,0.000500956
9,1178.31,0.62132,0.96718,0.86445,0.93283,0.95676,0.97574,0.84948,0.54596,0.55729,0.84997,0.000493093,0.000493093,0.000493093
10,1318.59,0.60492,0.91869,0.86566,0.93944,0.93797,0.9714,0.84597,0.54383,0.52724,0.851,0.000485229,0.000485229,0.000485229
11,1444.85,0.61743,0.8405,0.86232,0.97144,0.9603,0.98428,0.86256,0.54733,0.47772,0.85447,0.000477366,0.000477366,0.000477366
12,1569.18,0.58904,0.84482,0.85681,0.96737,0.96924,0.98465,0.86092,0.55666,0.46746,0.85117,0.000469502,0.000469502,0.000469502
13,1685.14,0.59618,0.83621,0.85705,0.98641,0.97203,0.98584,0.87267,0.5364,0.46184,0.85019,0.000461639,0.000461639,0.000461639
