                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7182,                 4.8959,                 1.1408,                      0,                      0,                      0,                      0,                 1.1204,                  4.379,                0.97521,               3.75e-05,               3.75e-05,               3.75e-05
                      2,                 1.3127,                 4.6323,                 1.0001,                      0,                      0,                      0,                      0,                0.75035,                 4.3059,                0.87781,             7.9641e-05,             7.9641e-05,             7.9641e-05
                      3,                 1.0272,                 4.3787,                0.91905,                  1e-05,                0.00556,                      0,                      0,                0.69775,                 4.3006,                 0.8575,             0.00012005,             0.00012005,             0.00012005
                      4,                0.94121,                  3.991,                0.89229,                0.05149,                0.35001,                0.06724,                0.04463,                0.74226,                 4.1572,                 0.8478,             0.00015873,             0.00015873,             0.00015873
                      5,                 1.0041,                 3.7017,                0.89425,                0.03047,                0.46489,                0.08487,                0.05718,                0.78211,                 4.1286,                0.84096,             0.00019567,             0.00019567,             0.00019567
                      6,                0.93186,                 3.0913,                0.89993,                0.02578,                0.43423,                0.07917,                0.05253,                0.74579,                 4.1618,                0.84895,             0.00023088,             0.00023088,             0.00023088
                      7,                0.93542,                 2.6957,                 0.8834,                0.02617,                0.32669,                0.09172,                 0.0615,                0.71278,                 4.2017,                0.85425,             0.00026436,             0.00026436,             0.00026436
                      8,                0.82764,                  2.292,                0.87654,                0.01654,                0.33458,                  0.096,                0.06449,                0.72673,                 4.1732,                 0.8525,             0.00029611,             0.00029611,             0.00029611
                      9,                0.82358,                 2.0339,                0.86665,                0.01104,                0.36514,                0.09381,                0.06482,                0.67924,                 4.1483,                0.84625,             0.00032612,             0.00032612,             0.00032612
                     10,                0.80884,                 1.9267,                0.86441,                0.01288,                0.39532,                 0.1011,                0.06952,                0.68416,                 4.1259,                0.84736,              0.0003544,              0.0003544,              0.0003544
                     11,                0.78949,                 1.7633,                0.86815,                0.02159,                0.43501,                0.14902,                 0.1097,                0.66888,                 4.0253,                0.84174,             0.00038095,             0.00038095,             0.00038095
                     12,                 0.7778,                 1.6507,                0.86243,                 0.0197,                0.56721,                0.28895,                 0.2168,                0.67113,                 3.8498,                0.84423,             0.00040577,             0.00040577,             0.00040577
                     13,                 0.7482,                 1.4594,                0.85469,                0.02131,                0.77001,                0.46418,                0.39136,                0.66156,                 3.6073,                0.83798,             0.00042885,             0.00042885,             0.00042885
                     14,                0.76395,                 1.5422,                0.85409,                0.01704,                0.88697,                0.59286,                0.50428,                0.67808,                 3.4113,                0.83556,              0.0004502,              0.0004502,              0.0004502
                     15,                0.73755,                 1.3704,                0.86488,                0.01553,                0.94797,                0.64148,                0.53359,                0.69523,                 3.3103,                0.84195,             0.00045175,             0.00045175,             0.00045175
                     16,                0.76333,                 1.3322,                0.86181,                0.99482,                0.09941,                 0.7483,                 0.6378,                0.64425,                 2.8253,                0.83636,             0.00043937,             0.00043937,             0.00043937
                     17,                0.76114,                  1.346,                0.86112,                0.99333,                0.22726,                0.81187,                 0.6677,                   0.72,                 2.5789,                0.84377,               0.000427,               0.000427,               0.000427
