epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.275,1.04682,6.33063,1.05227,0.03711,0.43712,0.06723,0.0569,0.65746,3.53867,0.8144,0.00019375,0.00019375,0.00019375
2,55.1384,0.76735,6.6296,0.95843,0.0334,0.78612,0.13735,0.10721,0.63538,3.49521,0.80168,0.000354769,0.000354769,0.000354769
3,65.6441,0.70096,5.80812,0.9339,0.02014,0.92337,0.29933,0.24988,0.63358,3.11124,0.82281,0.000476188,0.000476188,0.000476188
4,75.175,0.70183,5.27942,0.95225,0.6695,0.24078,0.4713,0.38526,0.65896,2.45291,0.85666,0.000439375,0.000439375,0.000439375
5,84.6297,0.66761,4.93165,0.93197,0.4543,0.57348,0.58011,0.49353,0.57802,1.82924,0.85309,0.0003775,0.0003775,0.0003775
6,94.5175,0.64531,4.73448,0.91688,0.61061,0.69265,0.7024,0.60436,0.57836,1.38942,0.85693,0.000315625,0.000315625,0.000315625
7,103.818,0.63809,4.21535,0.91783,0.6138,0.735,0.72813,0.62034,0.53429,1.20217,0.86156,0.00025375,0.00025375,0.00025375
8,113.12,0.58416,3.83767,0.89623,0.67861,0.8108,0.77742,0.66988,0.53827,1.06928,0.84911,0.000191875,0.000191875,0.000191875
9,122.868,0.59848,3.89176,0.90739,0.68644,0.81492,0.78518,0.6719,0.52141,0.9981,0.85382,0.00013,0.00013,0.00013
10,132.234,0.57033,3.55707,0.90146,0.74469,0.82357,0.82403,0.71275,0.51019,0.93073,0.84055,6.8125e-05,6.8125e-05,6.8125e-05
