                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3253,                 4.6735,                 1.0112,                      0,                      0,                      0,                      0,                 0.6938,                 4.2925,                0.86121,             0.00014375,             0.00014375,             0.00014375
                      2,                0.96785,                 3.9287,                0.90861,                      0,                      0,                      0,                      0,                0.71692,                 4.2816,                 0.8518,             0.00029011,             0.00029011,             0.00029011
                      3,                0.90898,                 3.0606,                 0.8979,                0.00136,                0.00364,                0.00332,                0.00315,                0.67538,                 4.1367,                0.85978,             0.00043277,             0.00043277,             0.00043277
                      4,                0.85037,                 2.5524,                0.88564,                0.01077,                 0.5751,                0.24198,                0.19623,                 0.6979,                 3.7482,                0.85882,             0.00057171,             0.00057171,             0.00057171
                      5,                0.83034,                 2.0899,                 0.8791,                0.98862,                0.08269,                0.46043,                0.37664,                 0.7159,                  2.998,                0.86269,             0.00059406,             0.00059406,             0.00059406
                      6,                0.80325,                 1.9747,                0.87227,                0.64356,                0.47689,                0.64265,                0.53746,                0.70803,                 2.0748,                0.86188,             0.00058633,             0.00058633,             0.00058633
                      7,                0.77173,                 1.6852,                0.86752,                0.57292,                0.73968,                0.72236,                0.61252,                 0.6787,                 1.4035,                0.86211,             0.00057859,             0.00057859,             0.00057859
                      8,                0.74149,                 1.5078,                0.86969,                0.63998,                0.78408,                0.77939,                0.66066,                0.64225,                 1.1495,                0.84831,             0.00057086,             0.00057086,             0.00057086
                      9,                0.72807,                 1.3268,                0.85931,                 0.6926,                0.83525,                0.85948,                0.72561,                0.62391,                 0.9278,                0.84243,             0.00056313,             0.00056313,             0.00056313
                     10,                0.69345,                 1.2574,                0.85752,                0.70869,                0.83086,                  0.869,                0.73815,                0.61899,                0.90525,                0.84438,             0.00055539,             0.00055539,             0.00055539
                     11,                0.69169,                 1.1703,                0.84955,                0.85279,                0.85407,                0.91857,                0.79213,                0.59844,                0.83589,                0.83847,             0.00054766,             0.00054766,             0.00054766
                     12,                0.67795,                 1.0943,                0.85207,                0.87074,                0.87425,                0.93358,                0.81431,                0.58278,                0.74486,                0.83626,             0.00053992,             0.00053992,             0.00053992
                     13,                0.65336,                 1.0483,                0.84447,                0.87224,                0.86099,                0.92958,                0.80149,                0.57817,                0.71476,                0.83386,             0.00053219,             0.00053219,             0.00053219
                     14,                0.63872,                 1.0016,                0.84189,                0.85692,                0.87212,                0.94022,                0.82387,                0.54992,                0.74754,                 0.8298,             0.00052445,             0.00052445,             0.00052445
                     15,                0.61928,                0.99445,                0.84651,                0.95342,                0.93333,                 0.9666,                 0.8455,                 0.5585,                0.60069,                0.83115,             0.00051672,             0.00051672,             0.00051672
                     16,                0.63823,                0.91865,                0.84096,                0.84782,                0.90991,                0.93626,                0.81986,                0.56361,                0.71736,                0.83425,             0.00050898,             0.00050898,             0.00050898
